Index	Name	Wikipedia Link	Postal Code(s)	Demonym(s)	Localities	Neighbours	Elevation
245	Lengnau, Aargau	https://en.m.wikipedia.org/wiki/Lengnau,_Aargau	5426			Baldingen, Böbikon, Endingen, Freienwil, Obersiggenthal, Schneisingen, Unterehrendingen, Unterendingen, Wislikofen	415 m (1,362 ft)
251	Altikon	https://en.m.wikipedia.org/wiki/Altikon	8321			Dinhard, Ellikon an der Thur, Neunforn (TG), Rickenbach, Thalheim an der Thur, Uesslingen-Buch (TG)	393 m (1,289 ft)
255	Hüttwilen	https://en.m.wikipedia.org/wiki/H%C3%BCttwilen	8536			Eschenz, Herdern, Mammern, Neunforn, Oberstammheim (ZH), Uesslingen-Buch, Wagenhausen, Warth-Weiningen	455 m (1,493 ft)
256	Oberstammheim	https://en.m.wikipedia.org/wiki/Oberstammheim	8477			Hüttwilen (TG), Neunforn (TG), Unterstammheim, Wagenhausen (TG), Waltalingen	440 m (1,440 ft)
257	Uesslingen-Buch	https://en.m.wikipedia.org/wiki/Uesslingen-Buch	8524			Altikon (ZH), Ellikon an der Thur (ZH), Frauenfeld, Hüttwilen, Neunforn, Warth-Weiningen	465 m (1,526 ft)
261	Unterstammheim	https://en.m.wikipedia.org/wiki/Unterstammheim	8476			Basadingen-Schlattingen (TG), Diessenhofen (TG), Oberstammheim, Wagenhausen (TG), Waltalingen	433 m (1,421 ft)
264	Schaffhausen	https://en.m.wikipedia.org/wiki/Schaffhausen	8200, 8203, 8207, 8208, 8231 Hemmental			Beringen, Büsingen am Hochrhein (DE-BW), Büttenhardt, Dörflingen, Feuerthalen (ZH), Flurlingen (ZH), Merishausen, Neuhausen am Rheinfall, Stetten, Thayngen	
267	Beringen, Switzerland	https://en.m.wikipedia.org/wiki/Beringen,_Switzerland	8222			Hemmental, Löhningen, Neuhausen am Rheinfall, Schaffhausen, Siblingen	456 m (1,496 ft)
268	Guntmadingen	https://en.m.wikipedia.org/wiki/Guntmadingen	8223			Beringen, Jestetten (DE-BW), Löhningen, Neuhausen am Rheinfall, Neunkirch	448 m (1,470 ft)
272	Boppelsen	https://en.m.wikipedia.org/wiki/Boppelsen	8113			Buchs, Otelfingen, Regensberg, Schleinikon	521 m (1,709 ft)
274	Dänikon	https://en.m.wikipedia.org/wiki/D%C3%A4nikon	8114			Buchs, Dällikon, Hüttikon, Oetwil an der Limmat, Otelfingen	437 m (1,434 ft)
276	Otelfingen	https://en.m.wikipedia.org/wiki/Otelfingen	8112			Boppelsen, Buchs, Dänikon, Hüttikon, Niederweningen, Schleinikon, Wettingen (AG), Würenlos (AG)	440 m (1,440 ft)
280	Volketswil	https://en.m.wikipedia.org/wiki/Volketswil	8604			Dübendorf, Fehraltorf, Greifensee, Illnau-Effretikon, Lindau, Schwerzenbach, Uster, Wangen-Brüttisellen	470 m (1,540 ft)
283	Rickenbach, Zürich	https://en.m.wikipedia.org/wiki/Rickenbach,_Zurich	8545			Altikon, Dinhard, Ellikon an der Thur, Wiesendangen, Winterthur	425 m (1,394 ft)
285	Bertschikon bei Attikon	https://en.m.wikipedia.org/wiki/Bertschikon_bei_Attikon	8544			Elgg, Ellikon an der Thur, Elsau, Frauenfeld (TG), Gachnang (TG), Hagenbuch, Wiesendangen	506 m (1,660 ft)
286	Elgg	https://en.m.wikipedia.org/wiki/Elgg	8353			Aadorf (TG), Bertschikon bei Attikon, Elsau, Hagenbuch, Hofstetten bei Elgg	530 m (1,740 ft)
287	Hofstetten, Zürich	https://en.m.wikipedia.org/wiki/Hofstetten_bei_Elgg	8354			Aadorf (TG), Bichelsee-Balterswil (TG), Elgg, Elsau, Schlatt, Turbenthal	644 m (2,113 ft)
288	Schlatt bei Winterthur	https://en.m.wikipedia.org/wiki/Schlatt,_Zurich	8418			Elsau, Hofstetten bei Elgg, Turbenthal, Winterthur, Zell	656 m (2,152 ft)
290	Fehraltorf	https://en.m.wikipedia.org/wiki/Fehraltorf	8320			Illnau-Effretikon, Pfäffikon, Russikon, Uster, Volketswil	530 m (1,740 ft)
291	Kyburg, Zürich	https://en.m.wikipedia.org/wiki/Kyburg,_Zurich	8314			Illnau-Effretikon, Weisslingen, Winterthur, Zell	640 m (2,100 ft)
292	Russikon	https://en.m.wikipedia.org/wiki/Russikon	8332			Fehraltorf, Illnau-Effretikon, Pfäffikon, Weisslingen, Wildberg	608 m (1,995 ft)
294	Weisslingen	https://en.m.wikipedia.org/wiki/Weisslingen	8484			Illnau-Effretikon, Kyburg, Russikon, Wildberg, Zell	576 m (1,890 ft)
298	Ellikon an der Thur	https://en.m.wikipedia.org/wiki/Ellikon_an_der_Thur	8548			Altikon, Bertschikon bei Attikon, Frauenfeld (TG), Gachnang (TG), Rickenbach, Uesslingen-Buch (TG), Wiesendangen	390 m (1,280 ft)
301	Turbenthal	https://en.m.wikipedia.org/wiki/Turbenthal	8488			Aadorf (TG), Bichelsee-Balterswil (TG), Fischingen (TG), Hofstetten bei Elgg, Schlatt, Wila, Wildberg, Zell	554 m (1,818 ft)
302	Zell, Zürich	https://en.m.wikipedia.org/wiki/Zell,_Zurich	8487			Kyburg, Schlatt, Turbenthal, Weisslingen, Wildberg, Winterthur	541 m (1,775 ft)
